VYP batch,Part,Set Time,FFTE Feed solids SP,FFTE Production solids SP,FFTE Steam pressure SP,TFE Out flow SP,TFE Production solids SP,TFE Vacuum pressure SP,TFE Steam pressure SP,Extract tank Level,FFTE Discharge density,FFTE Discharge solids,FFTE Feed flow rate PV,FFTE Feed solids PV,FFTE Heat temperature 1,FFTE Heat temperature 2,FFTE Heat temperature 3,FFTE Production solids PV,FFTE Steam pressure PV,TFE Input flow PV,TFE Level,TFE Motor current,TFE Motor speed,TFE Out flow PV,TFE Product out temperature,TFE Production solids PV,TFE Production solids density,TFE Steam pressure PV,TFE Steam temperature,TFE Tank level,TFE Temperature,TFE Vacuum pressure PV,quality
97_2019_07_01,Yeast - FMX,1/07/2019 9:04,50.0,41.09,102.0,2609.3,69.0,-46.71,120.0,22.55,1.29,53.7,10171.21,57.36,54.25,61.56,61.72,53.92,98.85,1507.13,45.22,27.42,80,1494.16,0,69.62,0.89,119.91,74.53,82.18,89,-47.78,high_bad
98_2019_07_01,Yeast - FMX,1/07/2019 9:37,50.0,41.09,102.0,2609.3,69.0,-43.25,120.0,23.75,1.29,54.16,10196.5,47.84,54.25,61.56,61.72,54.08,102.02,1500.65,45.44,27.22,80,1487.68,0,69.1,1.21,119.91,78.09,82.09,90,-43.54,high_bad
97_2019_07_01,Yeast - FMX,1/07/2019 10:15,50.0,41.09,99.0,2609.3,73.0,-36.37,120.0,24.41,1.29,54.16,10202.98,56.3,53.23,61.39,61.72,54.62,98.53,1494.16,45.66,27.42,80,1538.91,0,71.95,1.21,119.91,79.63,81.96,92,-39.65,high_bad
98_2019_07_01,Yeast - FMX,1/07/2019 10:25,50.0,41.09,98.0,2609.3,73.0,-61.02,120.0,24.91,1.29,55.01,10177.04,45.82,53.23,61.39,61.72,55.16,97.1,1507.13,45.66,27.59,80,4045.4,0,70.15,1.21,119.91,79.15,81.79,91,-46.36,high_bad
98_2019_07_01,Yeast - FMX,1/07/2019 12:25,50.0,41.09,90.0,2609.3,73.0,-51.97,120.0,29.94,1.29,53.46,10183.53,57.97,51.88,61.39,61.72,53.0,89.72,1507.13,45.73,27.42,80,4218.55,0,72.92,1.21,119.91,76.71,82.28,88,-51.99,high_bad
98_2019_07_01,Yeast - FMX,1/07/2019 13:36,50.0,41.09,87.0,2609.3,70.0,-47.33,120.0,33.44,1.29,54.08,10215.95,57.78,51.88,61.39,61.72,53.62,86.54,1487.68,45.73,27.39,80,1500.65,0,68.05,1.21,119.91,79.08,82.12,91,-44.25,high_bad
101_2019_07_01,Yeast - BRN,1/07/2019 22:55,50.0,41.09,80.0,2186.05,70.0,-45.0,120.0,49.21,1.27,17.0,9395.59,31.4,59.66,65.43,66.55,19.84,80.19,2372.24,49.25,24.8,80,3814.53,0,1.92,1.13,119.91,78.92,54.03,84,-45.64,high_bad
101_2019_07_01,Yeast - BRN,1/07/2019 23:00,50.0,41.09,118.44,2186.05,70.0,-42.98,120.0,48.44,1.27,25.36,9382.62,56.72,64.31,66.49,66.55,28.12,117.9,2359.27,54.83,24.8,80,1827.5,0,1.92,1.13,119.91,78.92,54.37,84,-44.61,high_bad
101_2019_07_01,Yeast - BRN,1/07/2019 23:01,50.0,41.09,118.44,2186.05,64.0,-79.82,120.0,47.88,1.27,25.36,9414.4,56.75,64.31,66.49,66.55,29.55,118.57,1795.72,51.4,25.07,80,1673.8,0,1.92,1.13,119.58,78.99,53.44,83,-50.92,high_bad
104_2019_07_02,Yeast - BRN,2/07/2019 1:39,50.0,41.09,118.44,2186.05,67.0,-79.82,125.0,31.73,1.28,48.74,9433.85,47.84,57.74,68.73,66.72,46.34,118.57,2096.63,47.87,31.26,80,1872.24,0,66.8,1.22,124.71,64.79,44.46,69,-80.56,good
106_2019_07_02,Yeast - BRD,2/07/2019 12:18,50.0,39.0,89.0,2335.9,65.0,-79.14,120.0,26.47,1.26,48.29,9202.98,57.01,55.95,66.14,66.87,48.59,89.36,1474.71,42.2,34.02,80,1071.34,0,60.79,0.93,119.91,65.18,83.28,72,-78.1,high_bad
106_2019_07_02,Yeast - BRD,2/07/2019 12:21,50.0,39.0,89.0,2335.9,65.0,-75.45,120.0,25.65,1.26,48.29,9177.69,45.63,55.95,66.14,66.87,49.26,89.0,1416.99,40.92,35.47,80,1039.56,0,67.81,0.93,119.91,65.18,83.09,73,-77.03,high_bad
106_2019_07_02,Yeast - BRD,2/07/2019 12:29,50.0,39.0,89.0,2335.9,65.0,-49.26,120.0,20.25,1.26,48.29,9228.92,49.89,55.95,66.14,66.87,52.25,87.93,1648.51,46.56,28.43,80,3096.63,0,69.05,0.93,119.91,73.76,82.33,79,-59.05,high_bad
107_2019_07_02,Yeast - BRD,2/07/2019 12:32,50.0,39.0,89.0,2335.9,65.0,-50.28,120.0,19.83,1.26,48.29,9171.21,58.61,55.95,66.14,66.87,52.99,88.65,1635.54,46.37,28.77,80,1648.51,0,65.28,0.93,120.23,74.6,82.11,81,-57.27,high_bad
107_2019_07_02,Yeast - BRD,2/07/2019 12:32,50.0,39.0,89.0,2335.9,65.0,-50.28,120.0,19.83,1.26,48.29,9171.21,58.61,55.95,66.14,66.87,52.99,88.65,1635.54,46.37,28.77,80,1648.51,0,65.28,0.93,120.23,74.6,82.11,81,-57.27,high_bad
106_2019_07_02,Yeast - BRD,2/07/2019 12:50,50.0,39.0,89.0,2335.9,69.0,-43.84,120.0,8.57,1.26,55.46,9215.95,58.48,55.95,66.14,66.87,57.02,88.65,1346.95,43.74,31.77,80,3346.95,0,68.98,0.93,119.91,72.99,80.92,85,-51.99,high_bad
106_2019_07_02,Yeast - BRD,2/07/2019 13:13,50.0,39.0,60.0,2335.9,69.0,-52.85,120.0,16.07,1.26,58.45,9075.23,58.96,52.42,62.71,65.08,53.96,54.44,1461.74,44.45,35.87,80,4327.5,0,72.1,0.93,119.91,74.98,80.85,87,-53.74,high_bad
108_2019_07_02,Yeast - BRD,2/07/2019 20:00,50.0,39.0,90.0,2335.9,58.0,-44.69,120.0,16.27,1.53,55.0,9612.84,46.59,53.23,68.25,66.75,54.26,90.07,1872.24,89.98,44.21,80,2603.11,0,63.61,1.09,120.23,65.53,38.03,79,-57.63,good
108_2019_07_02,Yeast - BRD,2/07/2019 20:01,50.0,39.0,80.0,2335.9,58.0,-41.91,120.0,16.06,1.53,55.0,9850.84,49.99,53.23,68.25,66.75,54.19,81.94,1878.73,57.13,43.61,80,2385.21,0,61.59,1.09,120.23,74.5,38.28,82,-54.45,good
109_2019_07_02,Yeast - FMX,3/07/2019 4:10,50.0,43.0,100.0,2609.3,72.0,-36.37,125.0,60.0,1.03,63.67,10171.21,56.56,57.29,69.82,65.4,63.59,100.63,1359.27,44.7,33.45,80,2859.27,0,72.32,0.87,125.03,79.15,79.64,92,-40.36,high_bad
110_2019_07_03,Yeast - FMX,3/07/2019 5:48,50.0,43.0,100.0,2609.3,72.0,-36.37,125.0,53.85,1.03,68.38,10183.53,56.97,51.24,67.64,65.4,68.53,106.27,2192.61,54.32,33.75,80,2584.31,0,75.86,0.87,125.03,78.31,78.48,93,-40.01,high_bad
109_2019_07_02,Yeast - FMX,3/07/2019 6:00,50.0,43.0,91.81,2609.3,71.0,-36.37,125.0,46.4,1.03,67.14,10215.95,49.86,51.24,67.64,65.78,65.67,91.82,1269.78,44.35,39.07,80,3244.49,0,86.81,0.87,125.03,78.6,79.0,96,-39.33,high_bad
109_2019_07_02,Yeast - FMX,3/07/2019 6:01,50.0,43.0,86.92,2609.3,71.0,-36.37,125.0,46.36,1.03,67.14,10190.01,57.13,51.24,67.64,65.78,65.75,90.07,1276.26,44.35,39.27,80,1391.7,0,86.81,0.87,125.03,78.6,79.02,96,-39.33,high_bad
