VYP batch,Part,Set Time,FFTE Feed solids SP,FFTE Production solids SP,FFTE Steam pressure SP,TFE Out flow SP,TFE Production solids SP,TFE Vacuum pressure SP,TFE Steam pressure SP,Extract tank Level,FFTE Discharge density,FFTE Discharge solids,FFTE Feed flow rate PV,FFTE Feed solids PV,FFTE Heat temperature 1,FFTE Heat temperature 2,FFTE Heat temperature 3,FFTE Production solids PV,FFTE Steam pressure PV,TFE Input flow PV,TFE Level,TFE Motor current,TFE Motor speed,TFE Out flow PV,TFE Product out temperature,TFE Production solids PV,TFE Production solids density,TFE Steam pressure PV,TFE Steam temperature,TFE Tank level,TFE Temperature,TFE Vacuum pressure PV,quality_label
84_2020_03_25,Yeast - FMX,25/03/2020 3:01,50.0,43.0,70.0,2846.51,72.0,-57.77,120.0,60.15,1.31,49.62,10049.29,50.69,56.3,66.65,63.64,49.77,68.89,1603.76,45.31,30.79,80,4794.42,0,69.79,1.26,119.91,75.05,80.53,88,-55.17,high_bad
84_2020_03_25,Yeast - FMX,25/03/2020 3:09,50.0,43.0,70.0,2846.51,72.0,-52.58,120.0,56.66,1.31,49.62,10004.54,48.9,56.3,66.65,63.64,49.77,70.99,1545.4,45.86,30.86,80,1564.85,0,73.09,1.26,119.91,75.05,80.5,87,-53.42,high_bad
84_2020_03_25,Yeast - FMX,25/03/2020 3:17,50.0,43.0,70.0,2846.51,72.0,-49.0,120.0,52.88,1.31,49.62,9966.28,49.0,56.3,66.65,63.64,49.54,70.64,1538.91,44.96,29.98,80,4820.36,0,73.09,1.26,119.91,75.05,80.53,88,-50.24,high_bad
84_2020_03_25,Yeast - FMX,25/03/2020 3:24,50.0,43.0,70.0,2846.51,72.0,-50.09,120.0,49.88,1.31,49.62,10004.54,50.09,56.3,66.65,63.64,49.46,69.6,1545.4,44.96,30.22,80,4839.82,0,71.37,1.26,120.23,75.05,80.56,88,-50.24,high_bad
84_2020_03_25,Yeast - FMX,25/03/2020 3:31,50.0,43.0,70.0,2846.51,72.0,-52.39,120.0,46.44,1.31,49.62,9998.05,50.86,56.3,65.08,63.64,49.38,69.24,1525.94,44.99,30.79,80,1525.94,0,71.37,1.26,119.91,76.17,80.58,88,-51.99,high_bad
84_2020_03_25,Yeast - FMX,25/03/2020 3:54,50.0,43.0,68.0,2846.51,72.0,-52.39,120.0,51.83,1.31,49.62,9985.08,50.92,56.3,65.08,63.64,49.85,70.31,1468.22,44.9,30.05,80,4884.57,0,72.12,1.26,119.91,75.65,80.48,88,-51.28,high_bad
84_2020_03_25,Yeast - FMX,25/03/2020 3:58,50.0,43.0,68.0,2846.51,72.0,-50.87,120.0,52.63,1.31,49.62,9978.6,49.0,56.3,65.08,63.64,49.7,68.17,1474.71,44.28,30.32,80,4922.83,0,72.41,1.26,119.91,75.65,80.5,88,-51.28,high_bad
84_2020_03_25,Yeast - FMX,25/03/2020 4:07,50.0,43.0,68.0,2846.51,72.0,-46.74,120.0,54.25,1.31,49.62,9972.11,49.38,56.3,65.08,63.64,49.77,67.82,1461.74,44.28,29.88,80,1494.16,0,72.41,1.26,119.91,75.65,80.5,89,-48.46,high_bad
84_2020_03_25,Yeast - FMX,25/03/2020 4:18,50.0,43.0,68.0,2846.51,72.0,-47.49,120.0,56.51,1.31,49.62,9959.79,49.16,56.3,65.08,63.64,49.7,68.17,1455.9,44.28,29.75,80,4935.8,0,72.41,1.26,119.91,75.65,80.51,89,-47.43,high_bad
84_2020_03_25,Yeast - FMX,25/03/2020 4:38,50.0,43.0,68.0,2846.51,72.0,-47.7,120.0,60.05,1.31,49.62,9972.11,50.76,56.3,65.08,63.64,49.93,67.82,1481.19,44.28,29.44,80,1525.94,0,72.41,1.26,119.91,77.0,80.49,89,-47.78,high_bad
