iter	Passed	Remaining
0	9	1901
1	18	1792
2	27	1829
3	36	1788
4	44	1737
5	52	1698
6	60	1670
7	68	1644
8	76	1620
9	84	1600
10	92	1582
11	99	1566
12	107	1551
13	115	1536
14	123	1525
15	132	1520
16	140	1509
17	149	1506
18	157	1497
19	167	1506
20	174	1485
21	181	1467
22	189	1456
23	195	1435
24	203	1425
25	210	1407
26	218	1400
27	225	1387
28	232	1370
29	239	1355
30	247	1347
31	253	1332
32	261	1325
33	268	1312
34	276	1305
35	285	1299
36	292	1287
37	299	1277
38	306	1263
39	313	1253
40	320	1241
41	326	1229
42	333	1216
43	340	1207
44	346	1191
45	353	1182
46	359	1171
47	366	1159
48	372	1149
49	379	1139
50	386	1129
51	393	1119
52	401	1112
53	407	1102
54	415	1094
55	422	1085
56	428	1075
57	435	1066
58	442	1056
59	448	1046
60	455	1037
61	462	1028
62	469	1020
63	476	1011
64	482	1002
65	489	993
66	496	984
67	502	976
68	509	967
69	516	959
70	524	952
71	529	941
72	536	932
73	542	923
74	549	915
75	556	907
76	562	898
77	569	890
78	576	882
79	582	873
80	589	865
81	595	857
82	602	849
83	609	841
84	616	833
85	622	825
86	629	817
87	636	809
88	642	801
89	649	793
90	656	786
91	663	778
92	670	771
93	678	764
94	685	757
95	692	749
96	698	742
97	705	734
98	712	727
99	719	719
100	726	712
101	733	704
102	740	697
103	748	690
104	754	683
105	762	675
106	769	668
107	776	661
108	783	654
109	791	647
110	798	639
111	804	632
112	811	624
113	818	617
114	825	610
115	833	603
116	840	596
117	847	588
118	853	581
119	860	573
120	868	566
121	874	559
122	881	552
123	888	544
124	895	537
125	902	529
126	908	522
127	915	514
128	922	507
129	928	500
130	935	492
131	942	485
132	948	478
133	955	470
134	962	463
135	969	456
136	975	448
137	982	441
138	989	434
139	995	426
140	1002	419
141	1009	412
142	1016	405
143	1022	397
144	1029	390
145	1036	383
146	1043	376
147	1049	368
148	1056	361
149	1063	354
150	1070	347
151	1077	340
152	1083	332
153	1090	325
154	1097	318
155	1103	311
156	1110	304
157	1117	296
158	1123	289
159	1130	282
160	1137	275
161	1144	268
162	1151	261
163	1157	254
164	1164	247
165	1171	239
166	1178	232
167	1185	225
168	1192	218
169	1198	211
170	1206	204
171	1213	197
172	1220	190
173	1227	183
174	1234	176
175	1241	169
176	1247	162
177	1255	155
178	1261	148
179	1268	140
180	1275	133
181	1282	126
182	1289	119
183	1296	112
184	1303	105
185	1309	98
186	1316	91
187	1323	84
188	1329	77
189	1336	70
190	1342	63
191	1349	56
192	1356	49
193	1363	42
194	1370	35
195	1377	28
196	1383	21
197	1390	14
198	1397	7
199	1404	0
